parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[5, 2, 2]",1.48,8.09%,-12.44%,2020-03-06 00:00:00,2020-03-19 00:00:00,0.65,0.8062820535265782,1.2229322781824887
"[3, 2, 2]",1.43,7.43%,-13.00%,2020-08-06 00:00:00,2021-08-10 00:00:00,0.57,0.7495903580299219,1.2229322781824887
"[11, 10, 2]",1.4,6.95%,-13.00%,2020-05-20 00:00:00,2021-03-30 00:00:00,0.53,0.7654469033542628,1.2229322781824887
"[11, 8, 2]",1.31,5.62%,-12.81%,2020-05-20 00:00:00,2021-03-30 00:00:00,0.44,0.6867674151890564,1.2229322781824887
"[11, 7, 2]",1.26,4.68%,-11.06%,2020-01-06 00:00:00,2021-03-30 00:00:00,0.42,0.673703890668266,1.2229322781824887
"[6, 2, 2]",1.28,5.05%,-12.44%,2020-03-06 00:00:00,2020-03-19 00:00:00,0.41,0.5973659922093996,1.2229322781824887
"[4, 2, 2]",1.3,5.4%,-14.74%,2020-08-06 00:00:00,2020-11-30 00:00:00,0.37,0.5344622365230579,1.2229322781824887
"[7, 2, 2]",1.21,3.88%,-13.66%,2016-11-02 00:00:00,2016-12-20 00:00:00,0.28,0.5092462728235468,1.2229322781824887
"[11, 9, 2]",1.19,3.6%,-13.00%,2020-05-20 00:00:00,2021-03-30 00:00:00,0.28,0.46358585919182327,1.2229322781824887
"[12, 9, 2]",1.2,3.79%,-14.88%,2017-09-08 00:00:00,2019-04-23 00:00:00,0.25,0.4354624701993856,1.2229322781824887
"[12, 10, 2]",1.2,3.79%,-14.88%,2017-09-08 00:00:00,2019-04-23 00:00:00,0.25,0.4354624701993856,1.2229322781824887
"[12, 11, 2]",1.2,3.79%,-14.88%,2017-09-08 00:00:00,2019-04-23 00:00:00,0.25,0.4354624701993856,1.2229322781824887
"[14, 7, 2]",1.16,2.94%,-12.83%,2017-09-08 00:00:00,2018-08-17 00:00:00,0.23,0.36368242333955547,1.2229322781824887
"[14, 8, 2]",1.16,2.94%,-12.83%,2017-09-08 00:00:00,2018-08-17 00:00:00,0.23,0.36368242333955547,1.2229322781824887
"[13, 10, 2]",1.15,2.82%,-12.86%,2017-09-08 00:00:00,2019-04-23 00:00:00,0.22,0.33529701861165667,1.2229322781824887
"[9, 3, 2]",1.2,3.63%,-16.58%,2020-08-06 00:00:00,2020-11-30 00:00:00,0.22,0.4683844317839136,1.2229322781824887
"[5, 3, 2]",1.19,3.46%,-17.11%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.2,0.4035523787340399,1.2229322781824887
"[13, 9, 2]",1.14,2.57%,-13.19%,2017-09-08 00:00:00,2019-04-23 00:00:00,0.19,0.32442640413967816,1.2229322781824887
"[8, 4, 2]",1.2,3.7%,-19.55%,2020-08-06 00:00:00,2020-11-30 00:00:00,0.19,0.4215267077929365,1.2229322781824887
"[8, 7, 2]",1.18,3.36%,-17.48%,2020-08-06 00:00:00,2021-09-08 00:00:00,0.19,0.37373230588755896,1.2229322781824887
"[10, 7, 2]",1.12,2.36%,-12.61%,2020-03-06 00:00:00,2021-09-08 00:00:00,0.19,0.34406390376396423,1.2229322781824887
"[9, 8, 2]",1.13,2.49%,-14.20%,2020-03-06 00:00:00,2021-09-10 00:00:00,0.18,0.33048724511586,1.2229322781824887
"[10, 8, 2]",1.12,2.28%,-12.61%,2020-03-06 00:00:00,2021-09-08 00:00:00,0.18,0.32086381998932945,1.2229322781824887
"[11, 5, 2]",1.2,3.64%,-20.78%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.18,0.43356768042154725,1.2229322781824887
"[10, 5, 2]",1.13,2.53%,-14.64%,2020-08-06 00:00:00,2021-09-08 00:00:00,0.17,0.33925477670118925,1.2229322781824887
"[11, 3, 2]",1.15,2.88%,-21.10%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.14,0.35208343373993833,1.2229322781824887
"[13, 2, 2]",1.15,2.9%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.14,0.3233757682859696,1.2229322781824887
"[14, 6, 2]",1.09,1.69%,-13.13%,2020-08-06 00:00:00,2021-09-08 00:00:00,0.13,0.2415739467764113,1.2229322781824887
"[5, 4, 2]",1.11,2.17%,-17.35%,2018-01-25 00:00:00,2019-12-06 00:00:00,0.13,0.29577809476273803,1.2229322781824887
"[10, 6, 2]",1.07,1.32%,-10.78%,2019-09-04 00:00:00,2021-09-08 00:00:00,0.12,0.227754880600888,1.2229322781824887
"[9, 4, 2]",1.12,2.36%,-19.64%,2020-08-06 00:00:00,2020-11-30 00:00:00,0.12,0.29140683340260903,1.2229322781824887
"[12, 5, 2]",1.12,2.34%,-20.36%,2020-08-06 00:00:00,2020-11-30 00:00:00,0.11,0.29254464248458034,1.2229322781824887
"[7, 5, 2]",1.07,1.45%,-13.83%,2020-03-06 00:00:00,2021-09-10 00:00:00,0.11,0.20759959501496586,1.2229322781824887
"[11, 4, 2]",1.12,2.32%,-21.58%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.11,0.31198099669408674,1.2229322781824887
"[11, 6, 2]",1.1,1.89%,-17.64%,2019-09-04 00:00:00,2021-03-30 00:00:00,0.11,0.26767592599778195,1.2229322781824887
"[12, 2, 2]",1.09,1.69%,-17.33%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.1,0.22211664401650197,1.2229322781824887
"[14, 9, 2]",1.05,1.07%,-13.81%,2017-09-08 00:00:00,2019-04-23 00:00:00,0.08,0.1660300465249886,1.2229322781824887
"[8, 6, 2]",1.05,0.97%,-14.35%,2020-03-06 00:00:00,2021-09-08 00:00:00,0.07,0.15148568585977024,1.2229322781824887
"[13, 6, 2]",1.06,1.16%,-16.53%,2020-08-06 00:00:00,2021-09-08 00:00:00,0.07,0.18094083491306814,1.2229322781824887
"[12, 4, 2]",1.07,1.27%,-27.62%,2020-08-06 00:00:00,2021-04-12 00:00:00,0.05,0.17760096159944308,1.2229322781824887
"[9, 7, 2]",1.05,0.91%,-19.50%,2020-03-06 00:00:00,2020-11-30 00:00:00,0.05,0.14842291036680255,1.2229322781824887
"[13, 11, 2]",1.04,0.82%,-18.67%,2020-03-06 00:00:00,2021-03-30 00:00:00,0.04,0.13151476234272674,1.2229322781824887
"[13, 7, 2]",1.02,0.48%,-11.08%,2020-03-06 00:00:00,2021-03-30 00:00:00,0.04,0.10068180500660334,1.2229322781824887
"[13, 12, 2]",1.04,0.82%,-18.67%,2020-03-06 00:00:00,2021-03-30 00:00:00,0.04,0.13151476234272674,1.2229322781824887
"[9, 6, 2]",1.04,0.79%,-19.50%,2020-03-06 00:00:00,2020-11-30 00:00:00,0.04,0.13463645972062308,1.2229322781824887
"[10, 4, 2]",1.03,0.66%,-21.11%,2020-08-06 00:00:00,2020-11-30 00:00:00,0.03,0.11788762082429627,1.2229322781824887
"[10, 3, 2]",1.03,0.65%,-21.11%,2020-08-06 00:00:00,2020-11-30 00:00:00,0.03,0.11464227697487231,1.2229322781824887
"[14, 4, 2]",1.03,0.56%,-25.89%,2020-08-06 00:00:00,2021-09-08 00:00:00,0.02,0.1070849717078692,1.2229322781824887
"[10, 9, 2]",1.01,0.27%,-12.56%,2020-03-06 00:00:00,2020-11-30 00:00:00,0.02,0.07332389197982535,1.2229322781824887
"[9, 2, 2]",1.01,0.19%,-9.43%,2021-06-02 00:00:00,2021-08-10 00:00:00,0.02,0.06460149217254652,1.2229322781824887
"[8, 5, 2]",1.01,0.13%,-18.91%,2020-03-06 00:00:00,2021-04-12 00:00:00,0.01,0.059840188563262196,1.2229322781824887
"[12, 6, 2]",1.01,0.12%,-16.86%,2020-08-06 00:00:00,2021-09-08 00:00:00,0.01,0.05497893314623934,1.2229322781824887
"[8, 3, 2]",1.01,0.29%,-21.70%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.01,0.07714132666268479,1.2229322781824887
"[4, 3, 2]",1.01,0.26%,-24.16%,2020-08-06 00:00:00,2021-08-10 00:00:00,0.01,0.07455639265634253,1.2229322781824887
"[14, 3, 2]",1.01,0.17%,-22.35%,2020-08-06 00:00:00,2021-04-12 00:00:00,0.01,0.06613500023172507,1.2229322781824887
"[7, 6, 2]",1.0,0.03%,-17.43%,2020-03-06 00:00:00,2021-09-08 00:00:00,0.0,0.048251392713242025,1.2229322781824887
"[13, 3, 2]",0.98,-0.33%,-28.15%,2020-08-06 00:00:00,2021-04-12 00:00:00,-0.01,0.01782031904419246,1.2229322781824887
"[6, 5, 2]",1.0,-0.07%,-13.42%,2018-01-25 00:00:00,2021-06-02 00:00:00,-0.01,0.030148171700890965,1.2229322781824887
"[14, 2, 2]",0.99,-0.16%,-13.66%,2016-11-02 00:00:00,2016-12-20 00:00:00,-0.01,0.0090180912499801,1.2229322781824887
"[7, 4, 2]",0.99,-0.23%,-16.82%,2020-03-06 00:00:00,2021-09-10 00:00:00,-0.01,0.016932385420491823,1.2229322781824887
"[12, 3, 2]",0.99,-0.15%,-25.73%,2020-08-06 00:00:00,2021-09-08 00:00:00,-0.01,0.02515311467230603,1.2229322781824887
"[12, 8, 2]",0.99,-0.14%,-17.52%,2017-09-08 00:00:00,2020-11-30 00:00:00,-0.01,0.028698486752365217,1.2229322781824887
"[9, 5, 2]",0.98,-0.3%,-19.50%,2020-03-06 00:00:00,2020-11-30 00:00:00,-0.02,0.006807672793370664,1.2229322781824887
"[14, 10, 2]",0.96,-0.8%,-19.47%,2020-03-06 00:00:00,2021-03-30 00:00:00,-0.04,-0.03172883795005507,1.2229322781824887
"[14, 11, 2]",0.96,-0.78%,-19.47%,2020-03-06 00:00:00,2021-03-30 00:00:00,-0.04,-0.029897045238329298,1.2229322781824887
"[14, 12, 2]",0.96,-0.78%,-19.47%,2020-03-06 00:00:00,2021-03-30 00:00:00,-0.04,-0.029897045238329298,1.2229322781824887
"[13, 5, 2]",0.94,-1.14%,-20.91%,2020-08-06 00:00:00,2021-09-10 00:00:00,-0.05,-0.10046990867435016,1.2229322781824887
"[14, 5, 2]",0.94,-1.18%,-22.71%,2020-08-06 00:00:00,2021-09-08 00:00:00,-0.05,-0.08011114354054899,1.2229322781824887
"[13, 8, 2]",0.96,-0.84%,-14.68%,2017-09-08 00:00:00,2020-11-30 00:00:00,-0.06,-0.05352094039157095,1.2229322781824887
"[6, 4, 2]",0.92,-1.68%,-23.40%,2018-01-25 00:00:00,2021-04-12 00:00:00,-0.07,-0.143366949417524,1.2229322781824887
"[11, 2, 2]",0.98,-0.39%,-5.80%,2016-09-12 00:00:00,2021-08-10 00:00:00,-0.07,-0.17311927379996428,1.2229322781824887
"[14, 13, 2]",0.94,-1.31%,-19.47%,2020-03-06 00:00:00,2021-03-30 00:00:00,-0.07,-0.080082481465433,1.2229322781824887
"[13, 4, 2]",0.88,-2.61%,-27.36%,2020-03-06 00:00:00,2021-09-10 00:00:00,-0.1,-0.256922998009408,1.2229322781824887
"[6, 3, 2]",0.81,-4.1%,-28.97%,2017-09-08 00:00:00,2021-08-20 00:00:00,-0.14,-0.46216781907026083,1.2229322781824887
"[7, 3, 2]",0.83,-3.69%,-24.67%,2017-09-08 00:00:00,2021-09-10 00:00:00,-0.15,-0.42129896421871366,1.2229322781824887
"[12, 7, 2]",0.88,-2.54%,-16.96%,2017-09-08 00:00:00,2021-09-08 00:00:00,-0.15,-0.2984712565025605,1.2229322781824887
"[10, 2, 2]",0.87,-2.74%,-18.30%,2016-09-12 00:00:00,2021-03-30 00:00:00,-0.15,-0.3947823108879292,1.2229322781824887
"[8, 2, 2]",0.96,-0.82%,-4.12%,2020-11-06 00:00:00,2021-09-10 00:00:00,-0.2,-0.4539073172169025,1.2229322781824887
