parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,base_return
10,1.51,8.55%,-11.32%,2018-04-24 00:00:00,2018-08-17 00:00:00,0.75,1.2229322781824887
20,1.56,9.25%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.69,1.2229322781824887
12,1.42,7.3%,-11.42%,2018-02-15 00:00:00,2018-08-17 00:00:00,0.64,1.2229322781824887
22,1.48,8.13%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.6,1.2229322781824887
32,1.46,7.85%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.58,1.2229322781824887
14,1.44,7.58%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.56,1.2229322781824887
8,1.35,6.23%,-11.11%,2021-02-10 00:00:00,2021-08-10 00:00:00,0.56,1.2229322781824887
64,1.43,7.35%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.55,1.2229322781824887
62,1.43,7.35%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.55,1.2229322781824887
68,1.42,7.29%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.54,1.2229322781824887
30,1.41,7.13%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.53,1.2229322781824887
66,1.4,7.03%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.52,1.2229322781824887
26,1.38,6.67%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.5,1.2229322781824887
80,1.37,6.57%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.49,1.2229322781824887
34,1.38,6.59%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.49,1.2229322781824887
60,1.37,6.45%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.48,1.2229322781824887
6,1.31,5.52%,-11.55%,2018-03-26 00:00:00,2018-08-17 00:00:00,0.48,1.2229322781824887
58,1.36,6.34%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.47,1.2229322781824887
28,1.34,6.04%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.45,1.2229322781824887
54,1.34,6.05%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.45,1.2229322781824887
56,1.34,6.05%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.45,1.2229322781824887
24,1.33,5.9%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.44,1.2229322781824887
16,1.34,5.96%,-13.94%,2020-12-17 00:00:00,2021-08-10 00:00:00,0.43,1.2229322781824887
38,1.38,6.6%,-15.69%,2020-11-06 00:00:00,2021-03-30 00:00:00,0.42,1.2229322781824887
72,1.31,5.55%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.41,1.2229322781824887
70,1.3,5.33%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.4,1.2229322781824887
36,1.35,6.24%,-15.69%,2020-11-06 00:00:00,2021-03-30 00:00:00,0.4,1.2229322781824887
78,1.29,5.25%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.39,1.2229322781824887
18,1.29,5.27%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.39,1.2229322781824887
40,1.34,5.96%,-15.69%,2020-11-06 00:00:00,2021-03-30 00:00:00,0.38,1.2229322781824887
42,1.32,5.66%,-15.69%,2020-11-06 00:00:00,2021-03-30 00:00:00,0.36,1.2229322781824887
52,1.22,3.99%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.3,1.2229322781824887
50,1.21,3.82%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.28,1.2229322781824887
44,1.24,4.41%,-15.69%,2020-11-06 00:00:00,2021-03-30 00:00:00,0.28,1.2229322781824887
48,1.14,2.62%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.19,1.2229322781824887
74,1.13,2.49%,-13.45%,2020-12-17 00:00:00,2021-03-30 00:00:00,0.18,1.2229322781824887
46,1.13,2.4%,-15.69%,2020-11-06 00:00:00,2021-03-30 00:00:00,0.15,1.2229322781824887
76,1.11,2.15%,-15.79%,2018-01-25 00:00:00,2021-03-30 00:00:00,0.14,1.2229322781824887
82,1.04,0.76%,-15.79%,2018-01-25 00:00:00,2021-03-30 00:00:00,0.05,1.2229322781824887
84,1.04,0.86%,-15.79%,2018-01-25 00:00:00,2021-03-30 00:00:00,0.05,1.2229322781824887
86,0.99,-0.2%,-16.44%,2018-01-25 00:00:00,2021-03-30 00:00:00,-0.01,1.2229322781824887
88,0.99,-0.13%,-16.63%,2018-01-25 00:00:00,2021-03-30 00:00:00,-0.01,1.2229322781824887
90,0.94,-1.16%,-16.63%,2018-01-25 00:00:00,2021-03-30 00:00:00,-0.07,1.2229322781824887
92,0.94,-1.16%,-16.63%,2018-01-25 00:00:00,2021-03-30 00:00:00,-0.07,1.2229322781824887
94,0.94,-1.16%,-16.63%,2018-01-25 00:00:00,2021-03-30 00:00:00,-0.07,1.2229322781824887
96,0.95,-1.12%,-16.44%,2018-01-25 00:00:00,2021-03-30 00:00:00,-0.07,1.2229322781824887
98,0.95,-1.12%,-16.44%,2018-01-25 00:00:00,2021-03-30 00:00:00,-0.07,1.2229322781824887
